collocate,window_freq,pmi,t_score,global_freq
thi,25,3.482934087278702,4.537355849009245,1536
game,24,2.956969573101916,4.245115023807703,2127
nightmar,18,7.915883614130874,4.224537302094833,51
like,14,3.8808237198265823,3.4711799016173295,672
some,11,3.970364744855227,3.087315896106502,505
setting,10,6.873631127078803,3.1332270205002724,61
atmospher,10,6.418436501327976,3.1222735006254125,84
experienc,9,5.097866876447663,2.903615801876926,192
world,9,4.765511410109962,2.8785157502823755,242
horror,8,6.095377324421965,2.7826362096843416,86
way,8,4.363395137770015,2.67508080453907,288
ha,7,4.0783769718957625,2.468156023145818,312
story,7,3.257260148593674,2.331544263208301,552
have,7,3.233969498607455,2.3264213222106442,561
bureaucracy,6,8.005825739443672,2.4390377485660677,17
great,6,4.80071130953906,2.3480439165582814,165
being,6,4.783433318107225,2.3468142701797974,167
feel,6,4.1204683053847955,2.2865615976341016,265
one,6,3.4042612713853866,2.1814268322737536,436
hell,5,6.561040896770777,2.2084542700705394,41
surreal,5,5.887269129091765,2.191616643589289,66
human,5,5.783433318107225,2.1882491182930393,71
made,5,4.930990506521082,2.149185824856539,129
fun,5,4.535505804663639,2.1215721174272892,170
too,5,4.477624888583139,2.116857582012539,177
wher,5,4.477624888583139,2.116857582012539,177
gameplay,5,4.383502711218589,2.108775521301539,189
play,5,3.993356387481456,2.069038722805789,248
thing,5,3.8980758840483474,2.057589136798539,265
which,5,3.556753538367679,2.0097702775917887,336
ther,5,2.635945705784668,1.807045254757538,637
orwellian,4,9.105361412994586,1.9962349922608174,5
allegory,4,8.52039891227343,1.993975987617308,8
psychological,4,8.52039891227343,1.993975987617308,8
lovecraftian,4,8.36839581882838,1.9932229860694715,9
vibe,4,7.690323913715743,1.9887049767824523,15
dystopian,4,7.442396400272158,1.9864459721389427,18
heart,4,6.935436411552275,1.9804219597562507,26
dark,4,6.135735062038106,1.9653619287995203,46
truly,4,6.075614069600535,1.9638559257038473,48
betw,4,5.404921694853495,1.9420188808165884,77
narrativ,4,5.368395818828381,1.9405128777209153,79
kind,4,5.298006490936983,1.9375008715295692,83
adventur,4,4.736127603328868,1.9073808096161087,123
bit,4,4.500499354835726,1.8908147755637053,145
through,4,3.976078396049621,1.8426226765021685,209
well,4,3.7073303390214334,1.8102436099451982,252
puzzl,4,3.0536992931720945,1.7010583855089036,397
wa,4,2.5079295603112146,1.5632591022548212,580
veil,3,9.36839581882838,1.7294423336908156,3
underneath,3,8.36839581882838,1.7259643685200667,7
thin,3,8.198470817386069,1.7250948772273798,8
bureaucratic,3,7.908964200191083,1.7233558946420051,10
reveal,3,7.561040896770777,1.7207474207639435,13
absurd,3,6.667956100687289,1.7103135252516966,25
menu,3,6.667956100687289,1.7103135252516966,25
word,3,6.324001699469927,1.7042270862028859,32
despit,3,6.324001699469927,1.7042270862028859,32
aesthetic,3,6.280932977578042,1.7033575949101987,33
quickly,3,6.1589424531994315,1.7007491210321368,36
masterpiec,3,6.082993599966133,1.6990101384467624,38
second,3,5.753685974713172,1.69031522551989,48
feeling,3,5.280932977578042,1.6737948909588327,67
mechanic,3,4.876542722498706,1.6546660825197137,89
back,3,4.813806967150744,1.6511881173489646,93
doesn't,3,4.739039198748771,1.6468406608855284,98
styl,3,4.739039198748771,1.6468406608855284,98
look,3,4.437658481265495,1.6268423611537222,121
own,3,4.425881313489141,1.625972869861035,122
nothing,3,4.391115895328465,1.623364395982973,125
life,3,4.346028005799926,1.6198864308122243,129
each,3,4.29158022177755,1.6155389743487882,134
something,3,4.055512863544026,1.5946711833242944,158
art,3,4.028545815943756,1.5920627094462327,161
you'r,3,3.9846915263543288,1.5877152529827967,166
short,3,3.917184706996052,1.5807593226412986,174
lot,3,3.753685974713173,1.5625000054948668,195
their,3,3.739039198748771,1.5607610229094924,197
first,3,3.6818952916451626,1.5538050925679945,205
how,3,3.5546146276113437,1.5372847580069369,224
when,3,3.402611534166294,1.5155474756897562,249
character,3,2.8606011786296848,1.4164254683234114,363
me,3,2.7834333181072246,1.399035642469667,383
all,3,2.3488050904705,1.2816543179568902,518
pew,2,9.36839581882838,1.4120837523702183,2
hellscap,2,9.36839581882838,1.4120837523702183,2
satanic,2,9.36839581882838,1.4120837523702183,2
clerical,2,9.36839581882838,1.4120837523702183,2
portrayal,2,8.953358319549537,1.41101884736878,3
apocalyptic,2,8.631430224662175,1.4099539423673417,4
simulation,2,8.631430224662175,1.4099539423673417,4
hauntingly,2,8.631430224662175,1.4099539423673417,4
corporat,2,8.146003397491933,1.407824132364465,6
damn,2,8.146003397491933,1.407824132364465,6
lynchian,2,8.146003397491933,1.407824132364465,6
labyrinth,2,7.953358319549537,1.4067592273630267,7
led,2,7.953358319549537,1.4067592273630267,7
late,2,7.953358319549537,1.4067592273630267,7
ston,2,7.783433318107225,1.4056943223615883,8
madness,2,7.631430224662175,1.40462941736015,9
ali,2,7.631430224662175,1.40462941736015,9
fish,2,7.631430224662175,1.40462941736015,9
anim,2,7.631430224662175,1.40462941736015,9
contain,2,7.49392670091224,1.4035645123587115,10
trap,2,7.49392670091224,1.4035645123587115,10
transformed,2,7.49392670091224,1.4035645123587115,10
admit,2,7.49392670091224,1.4035645123587115,10
dread,2,7.49392670091224,1.4035645123587115,10
dungeon,2,7.368395818828381,1.4024996073572733,11
uncanny,2,7.252918601408445,1.4014347023558351,12
beautifully,2,7.252918601408445,1.4014347023558351,12
social,2,7.046467723941019,1.3993048923529583,14
tale,2,6.953358319549537,1.3982399873515199,15
crazy,2,6.953358319549537,1.3982399873515199,15
political,2,6.865895478299198,1.3971750823500817,16
layer,2,6.865895478299198,1.3971750823500817,16
buying,2,6.783433318107225,1.3961101773486433,17
tediou,2,6.561040896770777,1.3929154623443283,20
post,2,6.49392670091224,1.39185055734289,21
heavy,2,6.429796363492525,1.3907856523414517,22
totally,2,6.368395818828381,1.3897207473400133,23
gone,2,6.368395818828381,1.3897207473400133,23
approach,2,6.368395818828381,1.3897207473400133,23
mix,2,6.309502129774812,1.3886558423385749,24
clever,2,6.309502129774812,1.3886558423385749,24
insid,2,6.252918601408445,1.3875909373371367,25
non,2,6.1984708173860685,1.3865260323356983,26
loop,2,6.146003397491933,1.3854611273342599,27
couldn't,2,6.146003397491933,1.3854611273342599,27
perfectly,2,6.095377324421965,1.3843962223328217,28
account,2,6.095377324421965,1.3843962223328217,28
situation,2,6.095377324421965,1.3843962223328217,28
stuck,2,5.999162009162662,1.382266412329945,30
funny,2,5.999162009162662,1.382266412329945,30
natur,2,5.82407530260457,1.3780067923241917,34
doing,2,5.7054308061059515,1.3748120773198766,37
spac,2,5.667956100687289,1.3737471723184382,38
self,2,5.595806314931453,1.3716173623155616,40
deep,2,5.527093564847439,1.3694875523126848,42
save,2,5.527093564847439,1.3694875523126848,42
absolutely,2,5.49392670091224,1.3684226473112466,43
turn,2,5.461505223219862,1.3673577423098084,44
text,2,5.429796363492525,1.36629283730837,45
dream,2,5.280932977578042,1.3609683123011782,50
titl,2,5.146003397491933,1.3556437872939866,55
her,2,5.070715270187696,1.3524490722896716,58
element,2,5.022620981986651,1.350319262286795,60
yourself,2,4.953358319549537,1.34712454728248,63
trying,2,4.76353376066952,1.337540402269535,72
control,2,4.7439049539205875,1.3364754972680966,73
ending,2,4.7054308061059515,1.3343456872652202,75
yet,2,4.7054308061059515,1.3343456872652202,75
system,2,4.667956100687289,1.3322158772623434,77
got,2,4.6495775713724345,1.331150972260905,78
year,2,4.631430224662175,1.3300860672594668,79
becom,2,4.578318888202612,1.3268913522551518,82
dialogu,2,4.527093564847439,1.3236966372508367,85
almost,2,4.510414823700809,1.3226317322493983,86
writing,2,4.445563679350841,1.3183721122436451,90
mak,2,4.338648475434328,1.3109177772335767,97
best,2,4.295146836797742,1.3077230622292617,100
sound,2,4.266857792366319,1.3055932522263851,102
10,2,4.13317935713435,1.2949442022120017,112
interesting,2,4.1204683053847955,1.2938792972105633,113
pretty,2,4.095377324421965,1.2917494872076867,115
design,2,4.058540556241594,1.2885547722033717,118
played,2,4.022620981986651,1.2853600571990569,121
bug,2,3.7439049539205875,1.25767252716166,147
still,2,3.7341897990873756,1.2566076221602218,148
say,2,3.561040896770777,1.2363744271328936,167
think,2,3.421976859033225,1.218271042108442,184
work,2,3.178571259948364,1.1820642720595385,218
make,2,3.1589424531994315,1.1788695570552234,221
hi,2,3.114154531452593,1.171415222045155,228
really,2,2.7439049539205875,1.100066586948787,295
my,2,2.342333522242185,0.9989006118121453,390
achivement,1,9.36839581882838,0.9984939969043269,1
manifestation,1,9.36839581882838,0.9984939969043269,1
troublesom,1,9.36839581882838,0.9984939969043269,1
cynicism,1,9.36839581882838,0.9984939969043269,1
infraction,1,9.36839581882838,0.9984939969043269,1
sprawl,1,9.36839581882838,0.9984939969043269,1
afterlif,1,9.36839581882838,0.9984939969043269,1
nervou,1,9.36839581882838,0.9984939969043269,1
eee,1,9.36839581882838,0.9984939969043269,1
nighmar,1,9.36839581882838,0.9984939969043269,1
stalinist,1,9.36839581882838,0.9984939969043269,1
mockery,1,9.36839581882838,0.9984939969043269,1
salad,1,9.36839581882838,0.9984939969043269,1
sorrowful,1,9.36839581882838,0.9984939969043269,1
overused,1,9.36839581882838,0.9984939969043269,1
creepier,1,9.36839581882838,0.9984939969043269,1
lynchean,1,9.36839581882838,0.9984939969043269,1
ps1,1,9.36839581882838,0.9984939969043269,1
crossword,1,9.36839581882838,0.9984939969043269,1
emergent,1,9.36839581882838,0.9984939969043269,1
perpetual,1,9.36839581882838,0.9984939969043269,1
capitalist,1,9.36839581882838,0.9984939969043269,1
gigeresqu,1,9.36839581882838,0.9984939969043269,1
cleverness,1,9.36839581882838,0.9984939969043269,1
dick'',1,9.36839581882838,0.9984939969043269,1
shakespearian,1,9.36839581882838,0.9984939969043269,1
ting,1,9.36839581882838,0.9984939969043269,1
inescapably,1,9.36839581882838,0.9984939969043269,1
toying,1,9.36839581882838,0.9984939969043269,1
omnipotent,1,9.36839581882838,0.9984939969043269,1
dulcet,1,9.36839581882838,0.9984939969043269,1
emulation,1,9.36839581882838,0.9984939969043269,1
nondescript,1,9.36839581882838,0.9984939969043269,1
whim,1,9.36839581882838,0.9984939969043269,1
kobayashi,1,9.36839581882838,0.9984939969043269,1
degenerat,1,9.36839581882838,0.9984939969043269,1
submerged,1,9.36839581882838,0.9984939969043269,1
griding,1,9.36839581882838,0.9984939969043269,1
megastructur,1,9.36839581882838,0.9984939969043269,1
crawler,1,9.36839581882838,0.9984939969043269,1
marketabl,1,9.36839581882838,0.9984939969043269,1
sytem,1,9.36839581882838,0.9984939969043269,1
gerrymandered,1,9.36839581882838,0.9984939969043269,1
christ,1,9.36839581882838,0.9984939969043269,1
amusingly,1,9.36839581882838,0.9984939969043269,1
pinkman,1,9.36839581882838,0.9984939969043269,1
woah,1,9.36839581882838,0.9984939969043269,1
jfc,1,9.36839581882838,0.9984939969043269,1
nan,1,9.36839581882838,0.9984939969043269,1
tramatizing,1,9.36839581882838,0.9984939969043269,1
signifcant,1,9.36839581882838,0.9984939969043269,1
indecipherabl,1,9.36839581882838,0.9984939969043269,1
quaint,1,9.36839581882838,0.9984939969043269,1
surealism,1,9.36839581882838,0.9984939969043269,1
sequiter,1,9.36839581882838,0.9984939969043269,1
alegorical,1,9.36839581882838,0.9984939969043269,1
godforsak,1,9.36839581882838,0.9984939969043269,1
disguised,1,9.36839581882838,0.9984939969043269,1
liminal,1,9.36839581882838,0.9984939969043269,1
stumbling,1,9.36839581882838,0.9984939969043269,1
laboratory,1,9.36839581882838,0.9984939969043269,1
finessed,1,9.36839581882838,0.9984939969043269,1
existantial,1,9.36839581882838,0.9984939969043269,1
hurrah,1,9.36839581882838,0.9984939969043269,1
shaking,1,9.36839581882838,0.9984939969043269,1
biting,1,9.36839581882838,0.9984939969043269,1
excellenc,1,9.36839581882838,0.9984939969043269,1
merger,1,9.36839581882838,0.9984939969043269,1
hoplessness,1,9.36839581882838,0.9984939969043269,1
endured,1,9.36839581882838,0.9984939969043269,1
dystopic,1,9.36839581882838,0.9984939969043269,1
draconian,1,9.36839581882838,0.9984939969043269,1
authoritativ,1,9.36839581882838,0.9984939969043269,1
administration,1,9.36839581882838,0.9984939969043269,1
considerat,1,9.36839581882838,0.9984939969043269,1
doublespeak,1,9.36839581882838,0.9984939969043269,1
dilbert,1,9.36839581882838,0.9984939969043269,1
unmatchabl,1,9.36839581882838,0.9984939969043269,1
noirish,1,9.36839581882838,0.9984939969043269,1
inventiv,1,8.783433318107225,0.996987993808654,2
promised,1,8.783433318107225,0.996987993808654,2
pessimism,1,8.783433318107225,0.996987993808654,2
reasonably,1,8.783433318107225,0.996987993808654,2
overlord,1,8.783433318107225,0.996987993808654,2
nostalgic,1,8.783433318107225,0.996987993808654,2
1984,1,8.783433318107225,0.996987993808654,2
charg,1,8.783433318107225,0.996987993808654,2
bordering,1,8.783433318107225,0.996987993808654,2
mash,1,8.783433318107225,0.996987993808654,2
bespok,1,8.783433318107225,0.996987993808654,2
2022,1,8.783433318107225,0.996987993808654,2
brutality,1,8.783433318107225,0.996987993808654,2
advantag,1,8.783433318107225,0.996987993808654,2
irritatingly,1,8.783433318107225,0.996987993808654,2
disorienting,1,8.783433318107225,0.996987993808654,2
guilty,1,8.783433318107225,0.996987993808654,2
distract,1,8.783433318107225,0.996987993808654,2
ruleset,1,8.783433318107225,0.996987993808654,2
muted,1,8.783433318107225,0.996987993808654,2
unexpectedly,1,8.783433318107225,0.996987993808654,2
uncaring,1,8.783433318107225,0.996987993808654,2
eldritch,1,8.783433318107225,0.996987993808654,2
abomination,1,8.783433318107225,0.996987993808654,2
1996,1,8.783433318107225,0.996987993808654,2
fmv,1,8.783433318107225,0.996987993808654,2
suspenseful,1,8.783433318107225,0.996987993808654,2
persist,1,8.783433318107225,0.996987993808654,2
75,1,8.783433318107225,0.996987993808654,2
jesu,1,8.783433318107225,0.996987993808654,2
engrossing,1,8.783433318107225,0.996987993808654,2
partak,1,8.783433318107225,0.996987993808654,2
shenanigan,1,8.783433318107225,0.996987993808654,2
succeeded,1,8.783433318107225,0.996987993808654,2
procedur,1,8.783433318107225,0.996987993808654,2
utiliz,1,8.783433318107225,0.996987993808654,2
langeskov,1,8.783433318107225,0.996987993808654,2
involuntarily,1,8.783433318107225,0.996987993808654,2
containing,1,8.783433318107225,0.996987993808654,2
pyramid,1,8.783433318107225,0.996987993808654,2
brutalist,1,8.783433318107225,0.996987993808654,2
architectur,1,8.783433318107225,0.996987993808654,2
plentiful,1,8.783433318107225,0.996987993808654,2
af,1,8.783433318107225,0.996987993808654,2
freaky,1,8.783433318107225,0.996987993808654,2
plastered,1,8.783433318107225,0.996987993808654,2
distraint,1,8.783433318107225,0.996987993808654,2
evad,1,8.783433318107225,0.996987993808654,2
slur,1,8.783433318107225,0.996987993808654,2
troubled,1,8.783433318107225,0.996987993808654,2
responsiv,1,8.783433318107225,0.996987993808654,2
bullshit,1,8.783433318107225,0.996987993808654,2
climactic,1,8.783433318107225,0.996987993808654,2
mega,1,8.783433318107225,0.996987993808654,2
unparalleled,1,8.783433318107225,0.996987993808654,2
poignant,1,8.783433318107225,0.996987993808654,2
26,1,8.36839581882838,0.9954819907129809,3
playful,1,8.36839581882838,0.9954819907129809,3
packag,1,8.36839581882838,0.9954819907129809,3
committing,1,8.36839581882838,0.9954819907129809,3
simplicity,1,8.36839581882838,0.9954819907129809,3
nostalgia,1,8.36839581882838,0.9954819907129809,3
tangled,1,8.36839581882838,0.9954819907129809,3
tomorrow,1,8.36839581882838,0.9954819907129809,3
platonic,1,8.36839581882838,0.9954819907129809,3
math,1,8.36839581882838,0.9954819907129809,3
drudgery,1,8.36839581882838,0.9954819907129809,3
ludo,1,8.36839581882838,0.9954819907129809,3
connoisseur,1,8.36839581882838,0.9954819907129809,3
alternat,1,8.36839581882838,0.9954819907129809,3
astonishing,1,8.36839581882838,0.9954819907129809,3
met,1,8.36839581882838,0.9954819907129809,3
recursiv,1,8.36839581882838,0.9954819907129809,3
punish,1,8.36839581882838,0.9954819907129809,3
teeth,1,8.36839581882838,0.9954819907129809,3
toronto,1,8.36839581882838,0.9954819907129809,3
sane,1,8.36839581882838,0.9954819907129809,3
recycled,1,8.36839581882838,0.9954819907129809,3
sinner,1,8.36839581882838,0.9954819907129809,3
verification,1,8.36839581882838,0.9954819907129809,3
sh,1,8.36839581882838,0.9954819907129809,3
linking,1,8.36839581882838,0.9954819907129809,3
replaced,1,8.36839581882838,0.9954819907129809,3
remotely,1,8.36839581882838,0.9954819907129809,3
wrenching,1,8.36839581882838,0.9954819907129809,3
labyrinthin,1,8.36839581882838,0.9954819907129809,3
eureka,1,8.36839581882838,0.9954819907129809,3
delighted,1,8.36839581882838,0.9954819907129809,3
overview,1,8.36839581882838,0.9954819907129809,3
mad,1,8.046467723941019,0.9939759876173079,4
fueled,1,8.046467723941019,0.9939759876173079,4
hated,1,8.046467723941019,0.9939759876173079,4
ranging,1,8.046467723941019,0.9939759876173079,4
melancholic,1,8.046467723941019,0.9939759876173079,4
cruel,1,8.046467723941019,0.9939759876173079,4
punishment,1,8.046467723941019,0.9939759876173079,4
finger,1,8.046467723941019,0.9939759876173079,4
uneasy,1,8.046467723941019,0.9939759876173079,4
satirical,1,8.046467723941019,0.9939759876173079,4
buried,1,8.046467723941019,0.9939759876173079,4
invested,1,8.046467723941019,0.9939759876173079,4
voiced,1,8.046467723941019,0.9939759876173079,4
brother,1,8.046467723941019,0.9939759876173079,4
immigration,1,8.046467723941019,0.9939759876173079,4
monotony,1,8.046467723941019,0.9939759876173079,4
glory,1,8.046467723941019,0.9939759876173079,4
network,1,8.046467723941019,0.9939759876173079,4
rushing,1,8.046467723941019,0.9939759876173079,4
facing,1,8.046467723941019,0.9939759876173079,4
security,1,8.046467723941019,0.9939759876173079,4
maze,1,8.046467723941019,0.9939759876173079,4
deadly,1,8.046467723941019,0.9939759876173079,4
minimalist,1,8.046467723941019,0.9939759876173079,4
endearing,1,8.046467723941019,0.9939759876173079,4
nail,1,8.046467723941019,0.9939759876173079,4
socially,1,8.046467723941019,0.9939759876173079,4
futuristic,1,8.046467723941019,0.9939759876173079,4
sprinkled,1,8.046467723941019,0.9939759876173079,4
fashion,1,8.046467723941019,0.9939759876173079,4
simultaneously,1,8.046467723941019,0.9939759876173079,4
bump,1,8.046467723941019,0.9939759876173079,4
restriction,1,8.046467723941019,0.9939759876173079,4
